model  regime  cond  diff                               | n   acc%  halluc%  h/ans%  abst%  usedTool%
meta-llama/llama-4-scout  forced  none  L4_adversarial  | 71      1      76     77     1        0
openai/gpt-oss-20b  abstain  find_iri  L1_easy          | 8     100       0      0     0      100
openai/gpt-oss-20b  abstain  find_iri  L2_medium        | 48     98       0      0     2      100
openai/gpt-oss-20b  abstain  find_iri  L3_hard          | 46     89       7      7     0      100
openai/gpt-oss-20b  abstain  find_iri  L4_adversarial   | 71     44       8     16    48      100
openai/gpt-oss-20b  abstain  none  L1_easy              | 8      62      25     25     0        0
openai/gpt-oss-20b  abstain  none  L2_medium            | 47      4      36     57    36        0
openai/gpt-oss-20b  abstain  none  L3_hard              | 46      2      30     61    50        0
openai/gpt-oss-20b  abstain  none  L4_adversarial       | 69      4      25     81    70        0
openai/gpt-oss-20b  forced  find_iri  L1_easy           | 8     100       0      0     0      100
openai/gpt-oss-20b  forced  find_iri  L2_medium         | 48     98       2      2     0      100
openai/gpt-oss-20b  forced  find_iri  L3_hard           | 46     89       7      7     0      100
openai/gpt-oss-20b  forced  find_iri  L4_adversarial    | 71     44      38     47    18      100
openai/gpt-oss-20b  forced  none  L1_easy               | 8      75      25     25     0        0
openai/gpt-oss-20b  forced  none  L2_medium             | 48      2      60     66     8        0
openai/gpt-oss-20b  forced  none  L3_hard               | 44      0      57     69    18        0
openai/gpt-oss-20b  forced  none  L4_adversarial        | 70      4      74     87    14        0
qwen/qwen3.6-35b-a3b  abstain  find_iri  L1_easy        | 8     100       0      0     0      100
qwen/qwen3.6-35b-a3b  abstain  find_iri  L2_medium      | 48     98       0      0     2      100
qwen/qwen3.6-35b-a3b  abstain  find_iri  L3_hard        | 46     89       4      4     2      100
qwen/qwen3.6-35b-a3b  abstain  find_iri  L4_adversarial | 71     44       6     11    51      100
qwen/qwen3.6-35b-a3b  abstain  none  L1_easy            | 8      75      12     12     0        0
qwen/qwen3.6-35b-a3b  abstain  none  L2_medium          | 48      2      19     26    29        0
qwen/qwen3.6-35b-a3b  abstain  none  L3_hard            | 45      2      24     35    31        0
qwen/qwen3.6-35b-a3b  abstain  none  L4_adversarial     | 71      8      15     48    68        0
qwen/qwen3.6-35b-a3b  forced  find_iri  L1_easy         | 8     100       0      0     0      100
qwen/qwen3.6-35b-a3b  forced  find_iri  L2_medium       | 48     96       0      0     4      100
qwen/qwen3.6-35b-a3b  forced  find_iri  L3_hard         | 46     89       4      4     2      100
qwen/qwen3.6-35b-a3b  forced  find_iri  L4_adversarial  | 68     46      31     40    24      100
qwen/qwen3.6-35b-a3b  forced  none  L1_easy             | 8      75      12     12     0        0
qwen/qwen3.6-35b-a3b  forced  none  L2_medium           | 48      2      31     33     6        0
qwen/qwen3.6-35b-a3b  forced  none  L3_hard             | 46      2      30     31     2        0
qwen/qwen3.6-35b-a3b  forced  none  L4_adversarial      | 71      8      58     67    14        0
